id,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2
310,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
311,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
312,438.00305,80.90632,332.24445,162.52174,331.66122,2.5022366
313,60.756054,16.209707,64.95789,63.67907,50.007305,0.13802235
314,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
315,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
316,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
317,100.53007,23.594416,82.612236,77.79302,72.504234,2.0980706
318,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
319,121.90747,32.330456,95.42297,95.33359,83.46921,0.15179496
320,26.260695,14.773797,72.89991,60.800823,23.909971,3.287064
321,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
322,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
323,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
324,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
325,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055
326,50.011726,15.09738,65.020645,61.4482,44.1606,0.70475173
327,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
328,24.107218,14.658548,72.81264,60.678448,21.947304,4.001569
329,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
330,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
331,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
332,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
333,100.53007,23.594416,82.612236,77.79302,72.504234,2.0980706
334,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
335,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
336,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
337,247.03673,56.871864,152.15875,141.0796,148.57976,1.6929317
338,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
339,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
340,179.08153,38.80958,115.09034,107.49878,112.48064,0.3121581
341,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
342,97.04867,27.125,88.53744,84.8045,70.06831,2.938856
343,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
344,156.91663,33.639946,106.19734,98.15662,101.08748,1.2986878
345,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
346,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
347,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
348,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
349,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
350,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
351,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
