id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG1302,Zaqaziq 2,قسم ثان الزقازيق,zaqaziq-2-eg1302,30.601,31.519,EG13,Sharkia,الشرقية
EG1107,Zarqa,مركز الزرقا,zarqa-eg1107,31.209,31.649,EG11,Damietta,دمياط
EG0131,Zawiyya Al-Hamra,قسم الزاويةالحمراء,zawiyya-al-hamra-eg0131,30.098,31.27,EG01,Cairo,القاهرة
EG0100,Zemam Out,خارج الزمام,zemam-out-eg0100,29.972,31.799,EG01,Cairo,القاهرة
EG0200,Zemam Out,خارج الزمام,zemam-out-eg0200,30.537,29.721,EG02,Alexandria,الاسكندرية
EG1300,Zemam Out,خارج الزمام,zemam-out-eg1300,30.327,31.719,EG13,Sharkia,الشرقية
EG1400,Zemam Out,خارج الزمام,zemam-out-eg1400,30.24,31.514,EG14,Kalyoubia,القليوبية
EG1800,Zemam Out,خارج الزمام,zemam-out-eg1800,30.26,30.306,EG18,Behera,البحيرة
EG2100,Zemam Out,خارج الزمام,zemam-out-eg2100,28.935,29.392,EG21,Giza,الجيزة
EG2200,Zemam Out,خارج الزمام,zemam-out-eg2200,28.723,31.341,EG22,Beni Suef,بنى سويف
EG2300,Zemam Out,خارج الزمام,zemam-out-eg2300,29.347,30.344,EG23,Fayoum,الفيوم
EG2400,Zemam Out,خارج الزمام,zemam-out-eg2400,28.16,31.623,EG24,Menia,المنيا
EG2800,Zemam Out,خارج الزمام,zemam-out-eg2800,23.594,32.263,EG28,Aswan,أسوان
EG2900,Zemam Out,خارج الزمام,zemam-out-eg2900,25.634,32.716,EG29,Luxor,مدينة الأقصر
EG2500,Zemam Out,صحراء أسيوط,zemam-out-eg2500,27.358,31.799,EG25,Assiut,أسيوط
EG2600,Zemam Out,صحراء سوهاج,zemam-out-eg2600,26.727,32.193,EG26,Suhag,سوهاج
EG2700,Zemam Out,صحراء قنا,zemam-out-eg2700,25.966,33.191,EG27,Qena,قنا
EG1609,Zifta,مركز زفتى,zifta-eg1609,30.728,31.215,EG16,Gharbia,الغربية
