id,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,17,26,8,2,0,41
238,28,36,9,4,0,18
239,78,220,98,9,7,507
240,0,1,0,0,0,0
241,0,0,0,0,0,0
242,1,2,0,0,0,1
243,0,0,1,0,0,0
244,0,0,0,0,0,0
245,21,22,13,0,0,49
246,1,0,0,0,0,2
247,1,0,1,0,0,1
248,0,0,0,0,0,1
249,0,1,4,0,0,5
250,0,2,0,0,0,1
251,0,0,1,1,0,1
252,0,1,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,8,17,14,1,0,104
256,0,0,0,0,0,0
257,0,1,0,0,0,1
258,32,74,48,5,1,154
259,10,18,12,0,0,30
260,5,14,14,0,0,42
261,0,0,0,0,0,0
262,0,0,0,0,0,0
263,0,4,1,0,2,5
264,9,20,3,2,1,31
265,0,2,1,0,0,1
266,0,3,1,0,0,0
267,0,1,0,0,0,1
268,0,0,0,0,0,0
269,0,0,0,0,0,0
270,83,283,87,11,2,565
271,1,2,2,0,0,1
272,1,0,0,0,0,0
273,19,70,15,0,1,72
274,0,0,0,0,0,0
275,1,2,0,0,0,0
276,0,5,3,0,0,2
277,0,0,0,0,0,0
278,0,0,0,0,0,0
279,0,9,1,0,0,4
280,0,0,0,0,0,2
281,0,0,0,0,0,0
282,4,18,9,1,0,78
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0,0
287,60,124,47,2,6,216
288,0,0,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,1,2,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,72,212,71,3,1,278
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,17,26,17,1,0,58
302,0,0,0,0,0,0
303,29,72,29,3,3,96
304,1,0,0,0,0,0
305,1,3,0,0,0,4
306,0,0,0,0,0,0
