,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
216,Markz Mallawi,Menia,1.0,,,,,
217,Markz Matay,Menia,,,,,,
218,Markz Samalut,Menia,,,,,,
219,Marsa Alam,Red Sea,,,,,,
220,Marsa Matruh,Matrouh,,,,,,
221,Mashtul Al-Suq,Sharkia,3.0,8.0,4.0,,,3.0
222,Matariyya,Dakahlia,,,,,,
223,Mina Al-Basal,Alexandria,14.0,29.0,15.0,,,43.0
224,Minshat Nasir,Cairo,5.0,19.0,3.0,3.0,,21.0
225,Minuf,Menoufia,,,1.0,,,
226,Minuf City,Menoufia,6.0,27.0,7.0,,1.0,21.0
227,Minya Al-Nasr,Dakahlia,,1.0,,,,
228,Minya al-Qamh,Sharkia,1.0,1.0,,,,2.0
229,Misr al-Gadida,Cairo,87.0,203.625,93.0,11.0,,41.0
230,Misr Al-Qadima,Cairo,13.0,32.0,10.0,3.0,2.0,44.0
231,Mit Ghamr,Dakahlia,8.0,21.0,6.0,,1.0,17.0
232,Mit Ghamr,Dakahlia,3.0,,,,,
233,MIt Salsil,Dakahlia,,,,,,
234,Mitubas,Kafr El-Shikh,,,,,,
235,Mubark-Sharq Tafrea,Port Said,,,,,,
236,Muharam Bik,Alexandria,17.0,26.0,8.0,2.0,,41.0
237,Muntazah,Alexandria,28.0,36.0,9.0,4.0,,18.0
238,Muski,Cairo,78.0,203.625,93.0,9.0,6.0,41.0
239,Nag Hammadi,Qena,,1.0,,,,
240,Nakhl,North Sinai,,,,,,
241,Naqada,Qena,1.0,2.0,,,,1.0
242,Nasir,Beni Suef,,,1.0,,,
243,Nasr,Aswan,,,,,,
244,Nasr City,Cairo,21.0,22.0,13.0,,,49.0
245,Nebro,Dakahlia,1.0,,,,,2.0
246,New Cairo-1,Cairo,1.0,,1.0,,,1.0
247,New Cairo-2,Cairo,,,,,,1.0
248,New Cairo-3,Cairo,,1.0,4.0,,,5.0
249,New Minya,Menia,,2.0,,,,1.0
250,North Coast,Alexandria,,,1.0,1.0,,1.0
251,North Coast,Matrouh,,1.0,,,,
252,Nubariyya West,Behera,,,,,,
253,Nuweiba,South Sinai,,,,,,
254,Nuzha,Cairo,8.0,17.0,14.0,1.0,,104.0
255,Paris Paris,New Valley,,,,,,
256,Police Department Port of Damietta,Damietta,,1.0,,,,1.0
257,Police Department Port Said Port,Port Said,32.0,74.0,48.0,5.0,1.0,154.0
258,Port Alexandria Police Department,Alexandria,10.0,18.0,12.0,,,30.0
259,Port Fuad,Port Said,5.0,14.0,14.0,,,42.0
260,Port Fuad 2,Port Said,,,,,,
261,Port Suez Police Department,Suez,,,,,,
262,Qaha,Kalyoubia,,4.0,1.0,,2.0,5.0
263,Qalyub,Kalyoubia,9.0,20.0,3.0,2.0,1.0,31.0
264,Qalyub,Kalyoubia,,2.0,1.0,,,1.0
265,Qanatir Al-Khayriyya,Kalyoubia,,3.0,1.0,,,
266,"Qantara Gharb, al-",Ismailia,,1.0,,,,1.0
267,"Qantara Sharq, al-",Ismailia,,,,,,
268,Qasima,North Sinai,,,,,,
269,Qasr Al-Nile,Cairo,83.0,203.625,87.0,11.0,2.0,41.0
270,Qift,Qena,1.0,2.0,2.0,,,1.0
271,Qillin,Kafr El-Shikh,1.0,,,,,
272,Qina,Qena,19.0,70.0,15.0,,1.0,72.0
273,Qina,Qena,,,,,,
274,Qina City,Qena,1.0,2.0,,,,
275,Qurin,Sharkia,,5.0,3.0,,,2.0
276,Qus,Qena,,,,,,
277,Qusir,Red Sea,,,,,,
278,Qutur,Gharbia,,9.0,1.0,,,4.0
279,Quwisna,Menoufia,,,,,,2.0
280,Rafah,North Sinai,,,,,,
281,Ras al-Bar,Damietta,4.0,18.0,9.0,1.0,,78.0
282,Ras Gharib,Red Sea,,,,,,
283,Ras Sidr,South Sinai,,,,,,
284,Rashid,Behera,,,,,,
285,Riyad,Kafr El-Shikh,,,,,,
286,Rud Al-Farag,Cairo,60.0,124.0,47.0,2.0,6.0,216.0
287,Rummana,North Sinai,,,,,,
288,Sadat City,Menoufia,,,,,,
289,Saf,Giza,,,,,,
290,Safaga,Red Sea,,,,,,
291,Sahil Silim,Assiut,,,,,,
292,Salloum,Matrouh,,,,,,
293,Samannud,Gharbia,1.0,2.0,,,,
294,Sant Katrin,South Sinai,,,,,,
295,Santa,Gharbia,,,,,,
296,Saqulta,Suhag,,,,,,
297,Sayyida Zainab,Cairo,72.0,203.625,71.0,3.0,1.0,265.0
298,Shallatin,Red Sea,,,,,,
299,Sharm el-Sheikh,South Sinai,,,,,,
300,Shaykh Zayed,Giza,17.0,26.0,17.0,1.0,,58.0
301,Shaykh Zuwayd,North Sinai,,,,,,
302,Shibin al-Kum,Menoufia,29.0,72.0,29.0,3.0,3.0,96.0
303,Shibin al-Kum,Menoufia,1.0,,,,,
304,Shibin al-Qanatir,Kalyoubia,1.0,3.0,,,,4.0
305,Shirbin,Dakahlia,,,,,,
306,Shroq,Cairo,1.0,1.0,,,,
307,Shubra,Cairo,86.0,140.0,55.0,2.0,6.0,206.0
308,Shubra Al-Khayma 1,Kalyoubia,30.0,56.0,28.0,1.0,2.0,66.0
