name_en,name_ar,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,green_coverage_pct,gov_en,gov_ar
Shubra Al-Khayma 1,قسم أول شبرا الخيمة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,10.53,Kalyoubia,القليوبية
Awlad Saqr,مركز أولاد صقر,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,1.16,Sharkia,الشرقية
Ayat,مركز العياط,97.85958,22.6753,87.67268,75.88198,71.214165,5.34003,6.11,Giza,الجيزة
Al-Aguza,قسم العجوزة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.09,Giza,الجيزة
Bab Al-Shariyya,قسم باب الشعرية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.09,Cairo,القاهرة
Bab Sharqi,قسم باب شرقى,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,9.71,Alexandria,الاسكندرية
Gamaliyya,مركز الجمالية,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,9.71,Dakahlia,الدقهلية
Badr,قسم بدر,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,0.65,Cairo,القاهرة
Badr,مركز بدر,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482,32.54,Behera,البحيرة
Badrashain,مركز البدرشين,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,54.88,Giza,الجيزة
Bahariya Oasis,قسم الواحاتالبحرية,185.14928,38.637585,120.432,107.79761,117.35556,0.3616422,0.0,Giza,الجيزة
Banha,قسم بنها,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,1.15,Kalyoubia,القليوبية
Banha,مركز بنها,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,8.37,Kalyoubia,القليوبية
Bani Swayf,قسم بنى سويف,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264,0.48,Beni Suef,بنى سويف
Bani Swayf,مركز بنى سويف,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264,11.84,Beni Suef,بنى سويف
Bani Swayf City,قسم مدينة بنى سويف الجديدة,558.48065,61.379852,448.3376,144.24052,448.25964,3.3978798,0.0,Beni Suef,بنى سويف
Bany Abeed,مركز بنى عبيد,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.74,Dakahlia,الدقهلية
Al-Arbiin,قسم الأربعين,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.84,Suez,السويس
Basatin,قسم البساتين,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.84,Cairo,القاهرة
Al Amreia,قسم العامرية,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,0.54,Alexandria,الاسكندرية
Basyun,مركز بسيون,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226,0.54,Gharbia,الغربية
Biba,مركز ببا,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,11.06,Beni Suef,بنى سويف
Sumusta,مركز سمسطا,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,11.06,Beni Suef,بنى سويف
Bilbis,مركز بلبيس,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264,1.34,Sharkia,الشرقية
Bilqas,مركز بلقاس,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.6,Dakahlia,الدقهلية
Bir Al-Abd,قسم بئر العبد,19.416666,13.036125,61.853416,57.382812,17.637789,0.5135218,0.0,North Sinai,شمال سيناء
Birkat Al-Sab,مركز بركة السبع,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,10.34,Menoufia,المنوفية
Biyalu,مركز بيلا,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.85,Kafr El-Shikh,كفر الشيخ
Bulaq,قسم بولاق,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.31,Cairo,القاهرة
Bulaq Al-DakrUr,قسم بولاق الدكرور,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,3.11,Giza,الجيزة
Sayyida Zainab,قسم السيدة زينب,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,3.11,Cairo,القاهرة
Burg al-Arab,قسم برج العرب,245.60846,44.006573,157.85709,117.496284,157.33507,1.326487,13.35,Alexandria,الاسكندرية
Burg Al-Arab City,مدينه برج العرب الجديده,245.60846,44.006573,157.85709,117.496284,157.33507,1.326487,8.03,Alexandria,الاسكندرية
Burullus,مركز البرلس,23.154982,16.033936,66.136185,63.271893,21.058014,1.6114383,13.76,Kafr El-Shikh,كفر الشيخ
Daba,مركز الضبعة,135.42247,31.367443,98.42799,93.0453,90.95229,0.3106772,0.0,Matrouh,مطروح
Dahab,قسم دهب,35.30245,11.568643,60.334328,52.988697,31.84846,0.29622757,0.02,South Sinai,جنوب سيناء
Damanhur,قسم دمنهور,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,2.02,Behera,البحيرة
Damanhur,مركز دمنهور,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777,0.13,Behera,البحيرة
Dar al-Salam,مركز دار السلام,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922,4.11,Suhag,سوهاج
Daraw,مركز دراو,246.78453,56.312714,151.71045,138.38052,148.8394,0.7157952,0.0,Aswan,أسوان
Dayrut,مركز ديروط,605.872,103.235435,499.75162,182.83142,499.27554,3.5344,0.33,Assiut,أسيوط
Dikirnis,مركز دكرنس,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,1.19,Dakahlia,الدقهلية
Dishna,مركز دشنا,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075,12.4,Qena,قنا
Disuq,قسم دسوق,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,1.87,Kafr El-Shikh,كفر الشيخ
Disuq,مركز دسوق,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954,1.32,Kafr El-Shikh,كفر الشيخ
Dumyat,مركز دمياط,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038,1.12,Damietta,دمياط
Dumyat 1,قسم أول دمياط,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038,1.68,Damietta,دمياط
Dumyat 2,قسم ثان دمياط,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038,1.05,Damietta,دمياط
Dumyat Al-Gadida,قسم مدينه دمياط الجديده,24.353693,16.797165,68.61822,64.73077,22.15648,2.5677993,42.61,Damietta,دمياط
DuqqI,قسم الدقي,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,4.8,Giza,الجيزة
Dyarb Nigm,مركز ديرب نجم,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,0.76,Sharkia,الشرقية
E Mansora 2,قسم ثان المنصورة,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.39,Dakahlia,الدقهلية
El-Ibrahimiya,مركز الأبراهيمية,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,1.86,Sharkia,الشرقية
El Arish 1,قسم أول العريش,39.43007,16.247423,64.3123,63.659416,35.894962,0.4755678,12.57,North Sinai,شمال سيناء
El Arish 2,قسم ثان العريش,23.082174,15.192268,63.719368,61.649765,20.966974,0.2028446,15.8,North Sinai,شمال سيناء
Mahalet Demna,مركز محلة دمنة,23.082174,15.192268,63.719368,61.649765,20.966974,0.2028446,15.8,Dakahlia,الدقهلية
El Arish 3,قسم ثالث العريش,20.011168,12.808721,59.75663,56.90039,18.160433,0.37179714,0.02,North Sinai,شمال سيناء
El Arish 4,قسم رابع العريش,20.011168,12.808721,59.75663,56.90039,18.160433,0.37179714,0.04,North Sinai,شمال سيناء
El Mahalla El Kobra,مركز المحله الكبرى,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.4,Gharbia,الغربية
El Mahalla El Kobra 1,قسم أول المحلة الكبرى,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.11,Gharbia,الغربية
El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.09,Gharbia,الغربية
Qutur,مركز قطور,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055,0.09,Gharbia,الغربية
El Mansora,مركز المنصورة,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,0.16,Dakahlia,الدقهلية
El Mansora 1,قسم اول المنصورة,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.13,Dakahlia,الدقهلية
Faqus,قسم فاقوس,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085,1.0,Sharkia,الشرقية
Faqus,مركز فاقوس,21.777964,15.548711,73.005104,62.348927,19.803314,5.4383,4.19,Sharkia,الشرقية
Fariskur,مركز فارسكور,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,2.41,Damietta,دمياط
Sidi Salim,مركز سيدى سالم,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968,2.41,Kafr El-Shikh,كفر الشيخ
Farshut,مركز فرشوط,492.0676,96.41198,384.55725,177.38788,384.3853,1.9565153,26.91,Qena,قنا
Fayid,مركز فايد,21.569117,13.918986,70.35265,59.204643,19.626722,3.3178039,14.98,Ismailia,الإسماعيلية
Faysal,قسم فيصل,24.535568,14.429897,76.37451,60.094715,22.3058,2.793852,0.0,Suez,السويس
