district_id,district_en,district_ar,governorate_en,governorate_ar,district_lat,district_lon
gamaliyya-eg0115,Gamaliyya,قسم الجمالية,Cairo,القاهرة,30.054,31.265
madinat-nasr-2-eg0127,Madinat Nasr-2,قسم ثانمدينةنصر,Cairo,القاهرة,30.048,31.309
abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية,30.543,31.649
qasr-al-nile-eg0111,Qasr Al-Nile,قسم قصر النيل,Cairo,القاهرة,30.043,31.235
zaqaziq-2-eg1302,Zaqaziq 2,قسم ثان الزقازيق,Sharkia,الشرقية,30.601,31.519
al-balyana-eg2605,Al-Balyana,مركز البلينا,Suhag,سوهاج,26.241,31.944
tama-eg2613,Tama,مركز طما,Suhag,سوهاج,26.874,31.422
luxor-eg2902,Luxor,مركز الأقصر,Luxor,مدينة الأقصر,25.685,32.588
alfath-eg2513,Alfath,مركز الفتح,Assiut,أسيوط,27.218,31.212
zawiyya-al-hamra-eg0131,Zawiyya Al-Hamra,قسم الزاويةالحمراء,Cairo,القاهرة,30.098,31.27
sayyida-zainab-eg0107,Sayyida Zainab,قسم السيدة زينب,Cairo,القاهرة,30.03,31.242
el-arish-3-eg3403,El Arish 3,قسم ثالث العريش,North Sinai,شمال سيناء,30.995,33.777
naqada-eg2709,Naqada,مركز نقادة,Qena,قنا,25.89,32.711
al-minshat-eg2607,Al-Minshat,مركز المنشأة,Suhag,سوهاج,26.464,31.756
al-darb-al-ahmar-eg0114,Al Darb al-Ahmar,قسم الدرب الأحمر,Cairo,القاهرة,30.041,31.26
minya-al-nasr-eg1214,Minya Al-Nasr,مركز منية النصر,Dakahlia,الدقهلية,31.154,31.707
el-mansora-eg1203,El Mansora,مركز المنصورة,Dakahlia,الدقهلية,31.053,31.467
auseem-eg2116,Auseem,مركز أوسيم,Giza,الجيزة,30.132,31.142
qift-eg2711,Qift,مركز قفط,Qena,قنا,25.998,32.827
girga-eg2610,Girga,مركز جرجا,Suhag,سوهاج,26.307,31.867
burullus-eg1503,Burullus,مركز البرلس,Kafr El-Shikh,كفر الشيخ,31.521,31.273
atfeh-eg2115,Atfeh,مركز أطفيح,Giza,الجيزة,29.343,31.25
nakhl-eg3407,Nakhl,قسم نخل,North Sinai,شمال سيناء,29.909,34.024
basatin-eg0135,Basatin,قسم البساتين,Cairo,القاهرة,29.98,31.293
misr-al-gadida-eg0128,Misr al-Gadida,قسم مصرالجديدة,Cairo,القاهرة,30.091,31.327
dumyat-eg1102,Dumyat,مركز دمياط,Damietta,دمياط,31.44,31.842
qillin-eg1509,Qillin,مركز قلين,Kafr El-Shikh,كفر الشيخ,31.085,30.817
dar-al-salam-eg2608,Dar al-Salam,مركز دار السلام,Suhag,سوهاج,26.274,32.043
bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية,30.408,31.531
abdin-eg0109,Abdin,قسم عابدين,Cairo,القاهرة,30.046,31.245
tala-eg1707,Tala,مركز تلا,Menoufia,المنوفية,30.67,30.946
bab-al-shariyya-eg0116,Bab Al-Shariyya,قسم باب الشعرية,Cairo,القاهرة,30.059,31.258
assuit-eg2503,Assuit,مركز أسيوط,Assiut,أسيوط,27.117,31.232
tanta-1-eg1601,Tanta 1,قسم أول طنطا,Gharbia,الغربية,30.795,31.014
mina-al-basal-eg0211,Mina Al-Basal,قسم مينا البصل,Alexandria,الاسكندرية,31.167,29.88
girga-eg2609,Girga,قسم جرجا,Suhag,سوهاج,26.348,31.888
al-badari-eg2506,Al- Badari,مركز البدارى,Assiut,أسيوط,26.946,31.456
al-dikhila-eg0212,Al Dikhila,قسم الدخيلة,Alexandria,الاسكندرية,31.119,29.806
zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية,30.587,31.581
bahariya-oasis-eg2114,Bahariya Oasis,قسم الواحاتالبحرية,Giza,الجيزة,28.452,28.836
al-tibbin-eg0101,Al Tibbin,قسم التبين,Cairo,القاهرة,29.781,31.337
new-cairo-1-eg0137,New Cairo-1,قسم أول القاهرة الجديدة,Cairo,القاهرة,30.024,31.55
el-mahalla-el-kobra-1-eg1605,El Mahalla El Kobra 1,قسم أول المحلة الكبرى,Gharbia,الغربية,30.972,31.172
shubra-eg0119,Shubra,قسم شبرا,Cairo,القاهرة,30.072,31.25
bir-al-abd-eg3405,Bir Al-Abd,قسم بئر العبد,North Sinai,شمال سيناء,30.69,33.102
ismailiyya-1-eg1901,Ismailiyya 1,قسم أول الاسماعيلية,Ismailia,الإسماعيلية,30.606,32.311
sahil-silim-eg2507,Sahil Silim,مركز ساحل سليم,Assiut,أسيوط,27.093,31.349
nasr-city-eg0126,Nasr City,قسم أول مدينة نصر,Cairo,القاهرة,30.032,31.369
nuweiba-eg3507,Nuweiba,قسم نويبع,South Sinai,جنوب سيناء,29.314,34.312
manfalut-eg2512,Manfalut,مركز منفلوط,Assiut,أسيوط,27.294,30.951
tahta-eg2614,Tahta,مركز طهطا,Suhag,سوهاج,26.785,31.42
a-l-labban-eg0209,A L Labban,قسم اللبان,Alexandria,الاسكندرية,31.191,29.892
al-hasna-eg3406,Al-Hasna,قسم الحسنة,North Sinai,شمال سيناء,30.288,33.542
bani-swayf-eg2201,Bani Swayf,قسم بنى سويف,Beni Suef,بنى سويف,29.077,31.097
wadi-al-natrun-eg1814,Wadi Al-NatrUn,مركز وادى النطرون,Behera,البحيرة,30.43,30.313
daraw-eg2806,Daraw,مركز دراو,Aswan,أسوان,24.326,33.001
daba-eg3304,Daba,مركز الضبعة,Matrouh,مطروح,29.463,28.243
al-munakh-eg0303,Al-Munakh,قسم المناخ,Port Said,بورسعيد,31.265,32.287
saqulta-eg2612,Saqulta,مركز ساقلته,Suhag,سوهاج,26.692,31.663
qus-eg2707,Qus,مركز قوص,Qena,قنا,25.857,32.789
al-hammam-eg3302,Al-Hammam,قسم الحمام,Matrouh,مطروح,29.804,29.418
al-azbakiyya-eg0113,Al Azbakiyya,قسم الأزبكية,Cairo,القاهرة,30.06,31.246
minuf-eg1709,Minuf,مركز منوف,Menoufia,المنوفية,30.46,30.881
yousef-el-sadeq-eg2307,Yousef El sadeq,مركز يوسف الصديق,Fayoum,الفيوم,29.353,30.586
el-ibrahimiya-eg1317,El-Ibrahimiya,مركز الأبراهيمية,Sharkia,الشرقية,30.732,31.564
tura-eg0105,Tura,قسم طره,Cairo,القاهرة,29.939,31.38
basyun-eg1608,Basyun,مركز بسيون,Gharbia,الغربية,30.959,30.827
hadaiq-al-qubba-eg0123,Hadaiq Al-Qubba,قسم حدائقالقبة,Cairo,القاهرة,30.086,31.283
giza-eg2109,Giza,مركز الجيزة,Giza,الجيزة,29.943,31.213
zaqaziq-1-eg1301,Zaqaziq 1,قسم اول الزقازيق,Sharkia,الشرقية,30.585,31.513
qaha-eg1414,Qaha,قسم قها,Kalyoubia,القليوبية,30.293,31.215
ismailiyya-2-eg1902,Ismailiyya 2,قسم ثان الاسماعيلية,Ismailia,الإسماعيلية,30.614,32.26
abnub-eg2504,Abnub,مركز أبنوب,Assiut,أسيوط,27.295,31.106
